date,venue_code,race_no,boat_no,racer_grade_num,win_rate,local_win_rate,national_2rate,local_2rate,st_avg,fly_count,motor_rate,exhibition_time,exhibition_st,tilt,is_night,wind_speed,rank,is_first
20250714,2,1,4,2,4.52,3.82,0.2,0.2143,0.18,0,0.3035,6.99,0.0,-0.5,0,,1,1
20250714,2,1,2,2,3.3,0.0,0.1110999999999999,0.0,0.17,1,0.3187,7.02,0.0,0.0,0,,2,0
20250714,2,1,5,1,1.46,1.56,0.0,0.0,,0,0.3596,6.94,0.0,0.0,0,,3,0
20250714,2,1,6,2,5.63,5.25,0.3021,0.25,0.13,0,0.3768999999999999,6.92,1.0,0.0,0,,4,0
20250714,2,1,3,2,4.02,3.61,0.1513,0.1389,0.2,0,0.3514,7.03,0.0,-0.5,0,,5,0
20250714,2,1,1,1,3.0,4.33,0.0526,0.2022,0.14,0,0.3363,6.97,0.5,-0.5,0,,6,0
20250714,2,2,2,2,5.24,5.59,0.3431,0.3875,0.17,0,0.2986,7.04,0.0,-0.5,0,,1,1
20250714,2,2,4,4,6.64,6.86,0.4623,0.5357,0.13,0,0.3240999999999999,6.99,0.0,-0.5,0,,2,0
20250714,2,2,6,3,5.91,5.31,0.4103,0.3443,0.17,0,0.3615,6.93,0.0,0.0,0,,3,0
20250714,2,2,5,2,5.26,5.44,0.3061,0.36,0.16,0,0.347,7.08,0.0,0.0,0,,4,0
20250714,2,2,3,2,3.86,2.31,0.1519,0.0625,0.19,1,0.4038,7.0,0.0,0.0,0,,5,0
20250714,2,2,1,2,5.12,5.09,0.2941,0.2727,0.15,0,0.4043,6.85,0.0,-0.5,0,,6,0
20250714,2,3,4,2,5.35,5.0,0.2878,0.2278,0.18,0,0.3522,7.12,0.0,-0.5,0,,1,1
20250714,2,3,3,3,6.23,5.15,0.4724,0.3407,0.14,1,0.3385,6.93,0.0,-0.5,0,,2,0
20250714,2,3,6,3,5.55,4.67,0.3504,0.2221999999999999,0.15,0,0.292,7.1,0.0,0.0,0,,3,0
20250714,2,3,1,2,5.02,5.75,0.2893,0.375,0.14,0,0.3893,6.91,1.0,-0.5,0,,4,0
20250714,2,3,5,4,6.35,8.71,0.487,0.8571,0.17,0,0.3772999999999999,7.03,0.0,-0.5,0,,5,0
20250714,2,3,2,2,5.35,0.0,0.3297,0.0,0.17,0,0.348,6.95,0.0,-0.5,0,,6,0
20250714,2,4,2,4,7.04,7.5,0.5468999999999999,0.6333,0.15,0,0.3496,6.86,0.0,-0.5,0,,1,1
20250714,2,4,1,2,5.31,4.2,0.4048,0.2667,0.14,0,0.3267,6.92,0.0,-0.5,0,,2,0
20250714,2,4,5,4,6.65,5.23,0.4926,0.1923,0.15,1,0.3779999999999999,6.91,0.0,0.0,0,,3,0
20250714,2,4,4,2,4.8,5.48,0.3299,0.3333,0.15,1,0.3672999999999999,7.11,0.0,-0.5,0,,4,0
20250714,2,4,6,2,4.15,5.2,0.1951,0.2667,0.18,0,0.3722999999999999,7.13,0.0,-0.5,0,,5,0
20250714,2,4,3,2,4.38,4.15,0.2203,0.1818,0.18,0,0.3,7.05,0.0,-0.5,0,,6,0
20250714,2,5,4,4,6.03,6.97,0.3861,0.5440999999999999,0.16,0,0.3547,7.08,0.0,0.0,0,,1,1
20250714,2,5,5,2,4.52,3.82,0.2,0.2143,0.18,0,0.3035,6.95,0.0,-0.5,0,,2,0
20250714,2,5,2,2,5.13,3.53,0.3363,0.1944,0.17,0,0.3772999999999999,7.01,0.0,-0.5,0,,3,0
20250714,2,5,6,2,5.53,5.73,0.3953,0.2667,0.17,0,0.4279,7.0,0.0,-0.5,0,,4,0
20250714,2,5,3,2,4.1,4.03,0.2165,0.1724,0.22,0,0.3402,7.01,1.0,-0.5,0,,5,0
20250714,2,5,1,3,5.54,5.8,0.4050999999999999,0.4332999999999999,0.14,0,0.3868,6.98,0.0,0.0,0,,6,0
20250714,2,6,4,4,7.55,8.04,0.6132,0.76,0.16,1,0.3529,7.01,0.0,-0.5,0,,1,1
20250714,2,6,5,4,6.22,6.38,0.43,0.5625,0.15,1,0.3743999999999999,7.05,0.0,-0.5,0,,2,0
20250714,2,6,3,2,5.24,5.59,0.3431,0.3875,0.17,0,0.2986,7.11,0.0,-0.5,0,,3,0
20250714,2,6,2,3,5.38,4.45,0.3303999999999999,0.2581,0.21,0,0.2984,6.99,0.0,-0.5,0,,4,0
20250714,2,6,6,1,1.46,1.56,0.0,0.0,,0,0.3596,7.05,0.0,0.0,0,,5,0
20250714,2,6,1,2,5.54,6.72,0.3909,0.5832999999999999,0.16,0,0.3945,6.98,0.0,-0.5,0,,6,0
20250714,2,7,1,4,6.64,6.86,0.4623,0.5357,0.13,0,0.3240999999999999,6.88,0.0,-0.5,0,,1,1
20250714,2,7,2,2,4.61,4.88,0.2738,0.2941,0.17,0,0.3057,6.85,0.0,-0.5,0,,2,0
20250714,2,7,5,2,5.02,5.75,0.2893,0.375,0.14,0,0.3893,6.97,1.0,-0.5,0,,3,0
20250714,2,7,4,2,4.02,3.61,0.1513,0.1389,0.2,0,0.3514,6.93,0.0,-0.5,0,,4,0
20250714,2,7,3,2,4.93,0.0,0.2143,0.0,0.16,0,0.3148,6.89,0.0,-0.5,0,,5,0
20250714,2,7,6,2,4.79,3.8,0.2747,0.3,0.16,1,0.3450999999999999,7.0,0.0,-0.5,0,,6,0
20250714,2,8,2,2,5.63,5.25,0.3021,0.25,0.13,0,0.3768999999999999,7.0,1.0,-0.5,0,,1,1
20250714,2,8,1,2,4.8,5.48,0.3299,0.3333,0.15,1,0.3672999999999999,7.02,0.0,-0.5,0,,2,0
20250714,2,8,5,2,5.35,0.0,0.3297,0.0,0.17,0,0.348,6.97,0.0,0.0,0,,3,0
20250714,2,8,3,4,6.69,6.38,0.4316,0.5,0.12,0,0.3509,6.95,1.0,0.0,0,,4,0
20250714,2,8,4,2,3.86,2.31,0.1519,0.0625,0.19,1,0.4038,6.99,0.0,0.0,0,,5,0
20250714,2,8,6,4,6.34,4.47,0.4589999999999999,0.2332999999999999,0.13,1,0.3532,7.1,0.0,0.0,0,,6,0
20250714,2,9,2,4,6.03,6.97,0.3861,0.5440999999999999,0.16,0,0.3547,6.96,0.0,0.0,0,,1,1
